1;R. SALVADOR;678841;7183620;678870;7183533;91;134;137
2;R. JOAO TOBIAS DE PAIVA NETTO;681544;7181759;681543;7181838;79;1306;1305
3;R. SENHORINHO GONSALVES PEDROSO;680115;7182445;680221;7182474;110;522;564
4;AV. JORN. ADERBAL GAERTNER STRESSER;680145;7181574;680203;7181600;63;537;557
5;R. RAYNOLDO MORBIS;681922;7182088;681960;7182120;50;1419;1431
6;R. JOAO EZIDIO ONGARO;682015;7181502;681959;7181475;63;1441;1430
7;R. D. JOAO VI;677998;7184714;678156;7184861;216;10;19
8;R. MANOEL MAXIMO DOS SANTOS;680068;7181841;680167;7181865;102;506;543
9;R. JOSE GIRALDI;680130;7184324;680244;7184363;120;531;575
10;R. ENG. COSTA BARROS;679840;7182889;679868;7182804;90;419;432
11;R. CEL. CARLOS BARDELLI;678698;7183478;678756;7183497;62;108;119
12;R. OSIRIS DEL CORSO;680929;7181975;681029;7182023;111;898;976
13;R. NITEROI;680863;7183035;680920;7183054;60;855;893
14;R. DA TRINDADE;680973;7182881;681028;7182710;180;929;975
15;AV. PREF. MAURICIO FRUET;678541;7185277;678652;7185235;119;79;102
16;R. DOS FERROVIARIOS;680468;7184056;680529;7184075;64;656;680
17;R. REINALDO TORTATO;681088;7184104;681132;7184105;45;1016;1056
18;R. SANTA LUCIA;681716;7182798;681738;7182708;93;1371;1376
19;R. LEONARDO GELINSKI;681025;7183488;681062;7183279;213;973;996
20;R. AUGUSTO FAUSTINO STALCHMIDT;680863;7183638;680950;7183667;92;857;913
21;R. FORTALEZA;680521;7183112;680574;7182940;181;674;696
22;R. DELMO DE ALMEIDA;679188;7183891;679136;7183873;56;217;195
23;R. MARIA LIA CHIMBORSKI;681138;7182672;681151;7182583;90;1059;1066
24;R. LUIZ FRANCA;679183;7183731;679187;7183717;15;215;216
25;R. DR. JOSE ALEXANDRE DE MOURA NEGRINI;681440;7181279;681483;7181366;97;1261;1278
26;AV. PREF. MAURICIO FRUET;680007;7184697;680070;7184691;64;481;510
27;R. AMADOR BUENO;679921;7182017;680017;7182041;100;447;489
28;R. JORDANIA;680271;7182262;680374;7182288;106;587;622
29;R. CUIABA;679728;7183437;679783;7183455;58;391;406
30;R. EDUARDO ENGELHARDT;680906;7181601;680990;7181590;85;882;943
31;R. FILIPINAS;679989;7182461;680009;7182417;49;474;482
32;R. NATAL;680263;7183128;680292;7183037;96;581;592
33;R. DA TRINDADE;680952;7182952;680973;7182881;74;915;929
34;R. NOEMIA DIAS DA CRUZ;680976;7184483;680993;7184477;18;935;946
35;R. ENGA. ENEDINA ALVES MARQUES;679189;7183891;679225;7183781;116;218;239
36;R. CATULO DA PAIXAO CEARENSE;681074;7182564;681114;7182574;42;1005;1039
37;R. NITEROI;679552;7182606;679666;7182643;120;342;373
38;R. SUDAO;680458;7181951;680470;7181894;58;648;657
39;R. TEN. JOSE RIBAS KENDRICK;680990;7181140;681080;7181094;101;942;1010
40;R. TEREZINA;680609;7183631;680639;7183541;95;711;726
41;R. PROF. NIVALDO BRAGA;678775;7184771;678811;7184841;79;123;128
